title,link,snippet
Importance of radiobiological studies for the advancement of boron ...,https://www.cambridge.org/core/journals/expert-reviews-in-molecular-medicine/article/importance-of-radiobiological-studies-for-the-advancement-of-boron-neutron-capture-therapy-bnct/70E5269E2BFC8B883E1D4B14BF545B47,"Mar 31, 2022 ... (2022) Accelerator-based boron neutron capture therapy facility at the Helsinki university hospital. Acta Oncologica 61(2), ..."
CSNS Held 2021 Science Exhibition amid National Science ...,http://english.ihep.cas.cn/csns/ne/ln/202110/t20211014_286624.html,"Oct 14, 2021 ... ... the backgrounds and scientific principles of CSNS, the Southern Advanced Photon Source, and the boron neutron capture therapy facility."
Lucas Provenzano Ph.D. - Data Science Researcher - AlixPartners ...,https://ar.linkedin.com/in/lucasprovenzano/en,A prospective study to assess the performance of the improved Boron Neutron Capture Therapy Facility in Argentina. Elsevier - Apllied Radiation and isotopes ...
Development of Neutron Shielding Concrete Containing Colemanite ...,https://journals.jps.jp/doi/abs/10.7566/JPSCP.28.081007,"Sep 5, 2019 ... ... shields for a BNCT (Boron Neutron Capture Therapy) facility are several order magnitude lower than those even in the limestone concrete."
Lokasi: MONTE CARLO N PARTICLE EXTENDED (MCNPX ...,https://onesearch.id/Record/IOS5886.article-3318?widget=1,MONTE CARLO N PARTICLE EXTENDED (MCNPX) RADIATION SHIELD MODELLING ON BORON NEUTRON CAPTURE THERAPY FACILITY USING D-D NEUTRON GENERATOR 2.4 MeV.
Optimizing Design of Accelerator Boron Neutron Capture Therapy ...,https://www.aest.org.cn/EN/10.7538/yzk.2022.youxian.0210,"Feb 20, 2023 ... Beam shaping assembly optimization for boron neutron capture therapy facility based on cyclotron 30 MeV as neutron source[J]."
Description of Utilization Programming for CARR,https://www.ncnr.nist.gov/trtr2005/Proceedings/Ke%20Guo-tu%20-%20CARR%20Utilization.pdf,Boron Neutron Capture Therapy Facility with thermal/epithermal neutron beam. 1. Under-development. Other. Associated. Equipments.
Classification Breast Cancer Revisited with Machine Learning ...,https://ijods.org/index.php/ds/article/view/8,"May 7, 2020 ... ... Extended ( MCNPX ) Radiation Shield Modelling on Boron Neutron Capture Therapy Facility Using D-D Neutron Generator,” vol. 4, no. 2, pp."
Method of Measuring High-LET Particles Dose,https://bnct.inp.nsk.su/publics/2021/Rad_Res_2021.pdf,"May 21, 2021 ... system for a boron neutron capture therapy facility. JINST 2019;. 14:P12002. 20. Bykov TA, Kasatov DA, Koshkarev AM, Makarov AN, Porosev."
"“Accelerating Particles into Space and Medicine"" Profs. Kumada ...",https://groups.oist.jp/ja/ami/event/%E2%80%9Caccelerating-particles-space-and-medicine-profs-kumada-yoshioka-takahashi-arai-and,An accelerator-based BNCT (Boron Neutron Capture Therapy) facility is being constructed and tested at the Ibaraki Neutron Medical Research Center (INMRC).
Undergraduate Research As An Enhanced Educational Tool And A ...,https://peer.asee.org/undergraduate-research-as-an-enhanced-educational-tool-and-a-transition-mechanism-for-post-graduate-studies.pdf,shown that the PULSTAR reactor could be used as a boron neutron capture therapy facility.5. II.2 RADIOISOTOPE APPLICATIONS IN NUCLEAR WELL LOGGING.
bnct facilities worldwide: Topics by Science.gov,https://www.science.gov/topicpages/b/bnct+facilities+worldwide,The MCNP4B Monte Carlo transport code is used in a feasibility study of the epithermal neutron boron neutron capture therapy facility in the thermalizing ...
4th FLUKA Advanced Course and Workshop (9-12 May 2016) · Indico,https://indico.cern.ch/event/489973/timetable/?view=standard_numbered,"... Veterans General Hospital, and a 30-MeV high-current proton cyclotron that may be used for an accelerator-based boron neutron capture therapy facility."
A combined wet/dry sipping cell for investigating failed TRIGA fuel ...,https://www.osti.gov/biblio/21165907,"Jul 1, 1988 ... The MCNP4B Monte Carlo transport code is used in a feasibility study of the epithermal neutron boron neutron capture therapy facility in the ..."
A combined wet/dry sipping cell for investigating failed TRIGA fuel ...,https://www.osti.gov/biblio/21165907,"Jul 1, 1988 ... The MCNP4B Monte Carlo transport code is used in a feasibility study of the epithermal neutron boron neutron capture therapy facility in the ..."
